Time	M_x	M_y	M_z
0.900000	-0.147972	0.000444	-0.215290
1.900000	-0.139243	0.000332	-0.219455
2.900000	-0.130423	0.000123	-0.223257
3.900000	-0.121527	-0.000186	-0.226698
4.900000	-0.112570	-0.000598	-0.229777
5.900000	-0.103566	-0.001112	-0.232494
6.900000	-0.094530	-0.001732	-0.234851
7.900000	-0.085475	-0.002455	-0.236848
8.900000	-0.076416	-0.003282	-0.238488
9.900000	-0.067365	-0.004211	-0.239773
10.900000	-0.058337	-0.005241	-0.240706
11.900000	-0.049344	-0.006367	-0.241288
12.900000	-0.040398	-0.007587	-0.241524
13.900000	-0.031513	-0.008897	-0.241417
14.900000	-0.022700	-0.010291	-0.240972
15.900000	-0.013971	-0.011764	-0.240192
16.900000	-0.005338	-0.013309	-0.239082
17.900000	0.003190	-0.014921	-0.237648
18.900000	0.011600	-0.016592	-0.235895
19.900000	0.019884	-0.018314	-0.233829
20.900000	0.028031	-0.020079	-0.231456
21.900000	0.036031	-0.021878	-0.228782
22.900000	0.043876	-0.023702	-0.225815
23.900000	0.051557	-0.025543	-0.222562
24.900000	0.059065	-0.027390	-0.219031
25.900000	0.066394	-0.029234	-0.215230
26.900000	0.073535	-0.031065	-0.211166
27.900000	0.080482	-0.032873	-0.206850
28.900000	0.087227	-0.034648	-0.202291
29.900000	0.093765	-0.036379	-0.197497
30.900000	0.100090	-0.038057	-0.192479
31.900000	0.106197	-0.039672	-0.187248
32.900000	0.112081	-0.041214	-0.181813
33.900000	0.117737	-0.042673	-0.176187
34.900000	0.123161	-0.044041	-0.170379
35.900000	0.128350	-0.045308	-0.164403
36.900000	0.133299	-0.046465	-0.158270
37.900000	0.138007	-0.047505	-0.151991
38.900000	0.142471	-0.048420	-0.145580
39.900000	0.146689	-0.049203	-0.139049
40.900000	0.150658	-0.049846	-0.132411
41.900000	0.154378	-0.050343	-0.125679
42.900000	0.157848	-0.050690	-0.118865
43.900000	0.161067	-0.050881	-0.111984
44.900000	0.164034	-0.050912	-0.105048
45.900000	0.166751	-0.050780	-0.098071
46.900000	0.169216	-0.050480	-0.091065
47.900000	0.171432	-0.050012	-0.084044
48.900000	0.173398	-0.049374	-0.077022
49.900000	0.175117	-0.048564	-0.070010
50.900000	0.176590	-0.047583	-0.063023
51.900000	0.177819	-0.046431	-0.056072
52.900000	0.178807	-0.045110	-0.049169
53.900000	0.179555	-0.043622	-0.042328
54.900000	0.180068	-0.041970	-0.035559
55.900000	0.180347	-0.040156	-0.028873
56.900000	0.180396	-0.038184	-0.022283
57.900000	0.180219	-0.036061	-0.015799
58.900000	0.179820	-0.033790	-0.009429
59.900000	0.179202	-0.031377	-0.003186
60.900000	0.178370	-0.028829	0.002924
61.900000	0.177328	-0.026153	0.008890
62.900000	0.176082	-0.023356	0.014705
63.900000	0.174635	-0.020445	0.020361
64.900000	0.172992	-0.017429	0.025852
65.900000	0.171160	-0.014316	0.031170
66.900000	0.169142	-0.011115	0.036311
67.900000	0.166945	-0.007835	0.041269
68.900000	0.164574	-0.004485	0.046039
69.900000	0.162035	-0.001074	0.050617
70.900000	0.159334	0.002388	0.055000
71.900000	0.156476	0.005891	0.059185
72.900000	0.153467	0.009426	0.063171
73.900000	0.150314	0.012984	0.066954
74.900000	0.147023	0.016553	0.070535
75.900000	0.143600	0.020126	0.073913
76.900000	0.140051	0.023691	0.077087
77.900000	0.136382	0.027241	0.080058
78.900000	0.132601	0.030765	0.082828
79.900000	0.128712	0.034256	0.085397
80.900000	0.124723	0.037703	0.087768
81.900000	0.120641	0.041099	0.089942
82.900000	0.116471	0.044435	0.091923
83.900000	0.112220	0.047704	0.093714
84.900000	0.107894	0.050897	0.095317
85.900000	0.103500	0.054008	0.096737
86.900000	0.099045	0.057030	0.097978
87.900000	0.094534	0.059955	0.099043
88.900000	0.089974	0.062779	0.099938
89.900000	0.085371	0.065495	0.100668
90.900000	0.080731	0.068098	0.101235
91.900000	0.076061	0.070582	0.101647
92.900000	0.071367	0.072944	0.101908
93.900000	0.066654	0.075179	0.102023
94.900000	0.061928	0.077284	0.101997
95.900000	0.057196	0.079255	0.101836
96.900000	0.052464	0.081090	0.101545
97.900000	0.047736	0.082785	0.101130
98.900000	0.043019	0.084339	0.100595
99.900000	0.038317	0.085750	0.099946
100.900000	0.033637	0.087016	0.099189
