Time	X	Y	Z	Xd	Yd	Zd
0.900000	2606289.215405	-1394112.778786	6556600.288388	4261.747644	-5348.609094	-2827.177120
1.900000	2610549.622296	-1399460.649796	6553769.633191	4258.995915	-5347.135402	-2834.110328
2.900000	2614807.275064	-1404807.044170	6550932.046278	4256.239685	-5345.656064	-2841.040558
3.900000	2619062.169210	-1410151.956264	6548087.530631	4253.478958	-5344.171082	-2847.967803
4.900000	2623314.300237	-1415495.380434	6545236.089237	4250.713735	-5342.680458	-2854.892057
5.900000	2627563.663653	-1420837.311038	6542377.725093	4247.944020	-5341.184193	-2861.813310
6.900000	2631810.254965	-1426177.742437	6539512.441202	4245.169816	-5339.682289	-2868.731557
7.900000	2636054.069686	-1431516.668991	6536640.240574	4242.391125	-5338.174746	-2875.646790
8.900000	2640295.103331	-1436854.085065	6533761.126227	4239.607951	-5336.661568	-2882.559001
9.900000	2644533.351418	-1442189.985021	6530875.101187	4236.820296	-5335.142754	-2889.468184
10.900000	2648768.809468	-1447524.363227	6527982.168485	4234.028163	-5333.618308	-2896.374331
11.900000	2653001.473003	-1452857.214049	6525082.331161	4231.231556	-5332.088230	-2903.277434
12.900000	2657231.337552	-1458188.531858	6522175.592262	4228.430476	-5330.552522	-2910.177487
13.900000	2661458.398642	-1463518.311023	6519261.954842	4225.624927	-5329.011185	-2917.074482
14.900000	2665682.651807	-1468846.545918	6516341.421964	4222.814912	-5327.464221	-2923.968412
15.900000	2669904.092582	-1474173.230915	6513413.996695	4220.000434	-5325.911633	-2930.859269
16.900000	2674122.716505	-1479498.360392	6510479.682112	4217.181496	-5324.353420	-2937.747047
17.900000	2678338.519117	-1484821.928724	6507538.481298	4214.358101	-5322.789586	-2944.631738
18.900000	2682551.495962	-1490143.930291	6504590.397343	4211.530250	-5321.220131	-2951.513334
19.900000	2686761.642588	-1495464.359473	6501635.433346	4208.697949	-5319.645057	-2958.391829
20.900000	2690968.954544	-1500783.210652	6498673.592412	4205.861199	-5318.064366	-2965.267215
21.900000	2695173.427383	-1506100.478211	6495704.877653	4203.020003	-5316.478059	-2972.139485
22.900000	2699375.056662	-1511416.156536	6492729.292189	4200.174365	-5314.886139	-2979.008632
23.900000	2703573.837938	-1516730.240014	6489746.839146	4197.324287	-5313.288606	-2985.874649
