Time	Suneci_x	Suneci_y	Suneci_z	Sunbrf_x	Sunbrf_y	Sunbrf_z
0.900000	22519065564.619087	-133315673426.136280	-58516024665.872025	-123257756302.179720	-9584217982.471676	80124718499.859451
1.900000	22519090822.944839	-133315664125.749770	-58516020100.196815	-125976534288.979640	-9565368170.192913	75780715894.313095
2.900000	22519116084.440308	-133315654826.777660	-58516015527.562546	-128535596544.980420	-9531326195.887993	71358620545.191086
3.900000	22519141348.901360	-133315645529.250810	-58516010947.983353	-130933022414.203610	-9486153506.193449	66864438533.317162
4.900000	22519166615.708652	-133315636233.265410	-58516006361.501869	-133167112802.624590	-9434118967.292227	62304190845.959717
5.900000	22519191885.699135	-133315626938.711300	-58516001768.070335	-135236388463.426770	-9379674324.389231	57683912810.288071
6.900000	22519217157.836594	-133315617645.737410	-58515997167.754555	-137139588052.809200	-9327428646.325563	53009654193.895744
7.900000	22519242433.165283	-133315608354.201870	-58515992560.492889	-138875665961.319950	-9282121905.289803	48287479875.113480
8.900000	22519267710.858624	-133315599064.232360	-58515987946.341927	-140443789935.299930	-9248597823.061199	43523470959.259758
9.900000	22519292991.753014	-133315589775.716860	-58515983325.252930	-141843338492.699160	-9231776135.276091	38723726231.480217
10.900000	22519318275.852417	-133315580488.656490	-58515978697.227066	-143073898146.703920	-9236624405.326307	33894363812.180328
11.900000	22519343561.289440	-133315571203.324490	-58515974062.384827	-144135260443.841640	-9268129532.664055	29041522892.600780
12.900000	22519368850.565002	-133315561919.374820	-58515969420.574829	-145027418824.819490	-9331269098.043201	24171365426.189835
13.900000	22519394142.434830	-133315552636.985840	-58515964771.876022	-145750565321.400450	-9430982669.220270	19290077631.149109
14.900000	22519419436.903828	-133315543356.165020	-58515960116.292206	-146305087092.382230	-9572143221.480320	14403871198.193197
15.900000	22519444735.641075	-133315534076.686710	-58515955453.725037	-146691562811.241060	-9759528796.436804	9518984067.818873
16.900000	22519470036.153133	-133315524798.899480	-58515950784.327995	-146910758913.284060	-9997794531.767775	4641680658.184486
17.900000	22519495339.070087	-133315515522.727570	-58515946108.068527	-146963625708.840850	-10291445206.137360	-221748551.729133
18.900000	22519520645.436943	-133315506248.035900	-58515941424.887924	-146851293373.333620	-10644808414.698601	-5064988203.810784
